date,aw_acft
1/1/19,0.012152794
1/2/19,0.009390795
1/3/19,0.003130265
1/4/19,0
1/5/19,0
1/6/19,0
1/7/19,0
1/8/19,0
1/9/19,0
1/10/19,0
1/11/19,0
1/12/19,0
1/13/19,0
1/14/19,0
1/15/19,0
1/16/19,0
1/17/19,0
1/18/19,0
1/19/19,0
1/20/19,0
1/21/19,0
1/22/19,0
1/23/19,0
1/24/19,0
1/25/19,0
1/26/19,0
1/27/19,0
1/28/19,0
1/29/19,0
1/30/19,0
1/31/19,0
2/1/19,0
2/2/19,0
2/3/19,0
2/4/19,0
2/5/19,0
2/6/19,0
2/7/19,0
2/8/19,0
2/9/19,0
2/10/19,0
2/11/19,0
2/12/19,0
2/13/19,0
2/14/19,0
2/15/19,0
2/16/19,0
2/17/19,0
2/18/19,0
2/19/19,0
2/20/19,0
2/21/19,0
2/22/19,0
2/23/19,0
2/24/19,0
2/25/19,0
2/26/19,0
2/27/19,0
2/28/19,0
3/1/19,0
3/2/19,0
3/3/19,0
3/4/19,0
3/5/19,0
3/6/19,0
3/7/19,0
3/8/19,0
3/9/19,0
3/10/19,0
3/11/19,0
3/12/19,0
3/13/19,0
3/14/19,0
3/15/19,0
3/16/19,0
3/17/19,0
3/18/19,0
3/19/19,0
3/20/19,0
3/21/19,0
3/22/19,0
3/23/19,0
3/24/19,0
3/25/19,0
3/26/19,0
3/27/19,0
3/28/19,0
3/29/19,0.009390795
3/30/19,0.030566118
3/31/19,0.015467192
4/1/19,0.012336927
4/2/19,0.039956913
4/3/19,0.006076397
4/4/19,0.012336927
4/5/19,0.006076397
4/6/19,0.009206662
4/7/19,0.00626053
4/8/19,0.006076397
4/9/19,0.006076397
4/10/19,0.006076397
4/11/19,0.00626053
4/12/19,0.009206662
4/13/19,0.00626053
4/14/19,0.009206662
4/15/19,0.009390795
4/16/19,0.015283059
4/17/19,0.00626053
4/18/19,0.003130265
4/19/19,0.003130265
4/20/19,0.01252106
4/21/19,0.01252106
4/22/19,0.00626053
4/23/19,0.00626053
4/24/19,0.16885018
4/25/19,2.731248331
4/26/19,1.623318633
4/27/19,1.847777051
4/28/19,1.39002182
4/29/19,1.77946362
4/30/19,0
5/1/19,0
5/2/19,1.718699651
5/3/19,1.445445925
5/4/19,0.960623107
5/5/19,2.242926982
5/6/19,0
5/7/19,0.349669021
5/8/19,2.0773912
5/9/19,0
5/10/19,0
5/11/19,0
5/12/19,0.503236142
5/13/19,2.572525479
5/14/19,0
5/15/19,0
5/16/19,0
5/17/19,0.960623107
5/18/19,2.0779436
5/19/19,0
5/20/19,0
5/21/19,0.988058959
5/22/19,2.139628235
5/23/19,0
5/24/19,0
5/25/19,0
5/26/19,0
5/27/19,0
5/28/19,0
5/29/19,0
5/30/19,0
5/31/19,0
6/1/19,0
6/2/19,0
6/3/19,0
6/4/19,0
6/5/19,0
6/6/19,0
6/7/19,0
6/8/19,0
6/9/19,0
6/10/19,0
6/11/19,0
6/12/19,0
6/13/19,0
6/14/19,0
6/15/19,2.571236547
6/16/19,0.926742591
6/17/19,2.73401033
6/18/19,0.085990223
6/19/19,1.464227515
6/20/19,1.666221678
6/21/19,0
6/22/19,0
6/23/19,0
6/24/19,0.78569653
6/25/19,2.270362835
6/26/19,0.144176326
6/27/19,0
6/28/19,0.266993196
6/29/19,2.742848725
6/30/19,0.095196884
7/1/19,0
7/2/19,1.561818132
7/3/19,2.685215022
7/4/19,2.847988805
7/5/19,2.690923152
7/6/19,2.789250302
7/7/19,2.773967243
7/8/19,2.752423654
7/9/19,0.798033457
7/10/19,0
7/11/19,0
7/12/19,0.064446634
7/13/19,2.738061261
7/14/19,1.70047046
7/15/19,1.705810324
7/16/19,0
7/17/19,0
7/18/19,0
7/19/19,0
7/20/19,0
7/21/19,0.736348822
7/22/19,2.369794784
7/23/19,1.049743594
7/24/19,2.040564553
7/25/19,0
7/26/19,1.534014013
7/27/19,1.571761326
7/28/19,0
7/29/19,0.773359603
7/30/19,2.341069998
7/31/19,1.510260825
8/1/19,1.602695711
